PostId,PostTypeId,CreationDate,Score,ViewCount,AnswerCount,CommentCount,FavoriteCount,ParentId,AcceptedAnswerId,Title,TagName
"53992384","1","2019-01-01 00:48:55","7","14414","3","0","","","53992787","How to access Docker container's internal IP address from host?","jenkins"
"53992791","1","2019-01-01 03:06:44","0","2122","1","0","","","53992870","access ecr images from within jenkins docker ecs container","jenkins"
"53992882","1","2019-01-01 03:42:42","1","74","1","0","","","","Automated deployment of unity3d builds to lots of android devices","jenkins"
"53992950","1","2019-01-01 04:09:14","8","3370","4","0","","","53992951","maven-gpg-plugin failing with ""Inappropriate ioctl for device"" when running under Jenkins","jenkins"
"53993301","1","2019-01-01 05:53:50","1","676","1","0","","","","Configure option in source control missing from xcode 10","azure-devops"
"53995873","1","2019-01-01 13:33:41","0","608","0","2","","","","How to run mongo in a test stage?","jenkins"
"53997817","1","2019-01-01 18:17:50","1","771","1","1","","","53997958","Debug groovy script within a container","jenkins"
"53998749","1","2019-01-01 20:35:03","0","254","1","0","","","54002544","Angular 4 Packages not installing in jenkins,while installation works on ssh with manual package installation, while package.json not working properly","jenkins"
"53998797","1","2019-01-01 20:43:26","-1","673","2","0","","","54001088","Azure DevOps - Android - build agen on my server","azure-devops"
"53999067","1","2019-01-01 21:27:23","0","3620","3","1","","","","Jenkinsfile / Docker : pointing to a ""npm"" private registry","jenkins"
"53999691","1","2019-01-01 23:17:53","1","235","1","2","","","","How to change some java variables before deploying on a remote server?","jenkins"
"53999988","1","2019-01-02 00:18:09","2","1161","2","0","","","54007503","Can't authenticate to Azure DevOps with Personal Access Token from ASP.NET app using Windows authentication","azure-devops"
"54001089","1","2019-01-02 04:08:27","1","126","1","7","","","54005275","Microsoftapplicationinsight.dll be edited in such a way to use it offline posting data to cloud","azure-devops"
"54001620","1","2019-01-02 05:26:29","2","259","1","0","","","","Is Jenkins-X and Jenkins Helm chart same?","jenkins"
"54002456","1","2019-01-02 07:01:26","0","51","1","0","","","","How do you allow external services to hit a pod provisioned by the k8s jenkins plugin?","jenkins"
"54002515","1","2019-01-02 07:08:00","0","5486","2","1","","","54002620","How to get public IP of azure VM from the below terraform code","azure-devops"
"54002574","1","2019-01-02 07:13:11","0","79","0","5","","","","Test Laravel Project from github in jenkins","jenkins"
"54003285","1","2019-01-02 08:29:39","3","1096","0","0","","","","Publish HTML test report in VSTS release pipeline","azure-devops"
"54004007","1","2019-01-02 09:35:50","17","7324","2","4","","","54115121","Azure DevOp Pipelines authentication to AKS with Azure AD RBAC configured?","azure-devops"
"54004266","1","2019-01-02 09:56:21","41","11306","3","4","","","","Azure DevOps Pipelines ""Waiting for console output from an agent...""","azure-devops"
"54004629","1","2019-01-02 10:23:51","2","7581","1","2","","","54005187","Docker build with Jenkins issue","jenkins"
"54004767","1","2019-01-02 10:34:33","0","1286","1","0","","","","DevOps pipeline build won't copy solution folder structure","azure-devops"
"54004823","1","2019-01-02 10:38:20","4","1460","1","4","","","54019646","How to add test results in Azure DevOps through REST API java?","azure-devops"
"54005150","1","2019-01-02 11:02:16","-1","1433","1","1","","","54005595","Can I rename SQL Azure Database Name?","azure-devops"
"54005161","1","2019-01-02 11:02:54","-1","570","1","0","","","","Problem with elasticbeanstalk and a docker image in ecr","jenkins"
"54005322","1","2019-01-02 11:14:51","1","1065","1","0","","","","Get console output of a jenkins job by sending the build number as a json parameter through api","jenkins"
"54005960","1","2019-01-02 11:58:44","2","6591","1","0","","","54006753","Restart a Jenkins pipeline and adjust parameters","jenkins"
"54006712","1","2019-01-02 12:50:58","0","1391","1","0","","","","Jenkins pipeline - building parallel with map received from function","jenkins"
"54007148","1","2019-01-02 13:21:40","6","3329","1","0","","","54031703","How to best use Azure Devops release pipelines with microservices?","azure-devops"
"54008282","1","2019-01-02 14:41:16","1","743","1","1","","","","Webhook for Jenkins without credentials in URL","jenkins"
"54008534","1","2019-01-02 14:58:56","-2","389","1","6","","","","Use string from Java in Jenkins job","jenkins"
